datetime,open,high,low,close/last,volume,market_adjustment%,biweekly_difference%,label
2020-06-18,4.67,4.95,4.65,4.95,3423827,-5.554015535388376,9.574784700913076,Sell
2020-06-19,4.95,5.084,4.69,4.88,7365867,0.059171013318559895,2.3392142153210216,Sell
2020-06-22,4.79,4.95,4.715,4.87,3178966,-0.9126536189951663,2.864706126813782,Sell
2020-06-23,4.95,4.99,4.8,4.83,3205372,2.188157420897097,-5.555562335673542,Buy
2020-06-24,4.83,4.84,4.38,4.41,2976209,6.638434090172989,-5.992687060914367,Buy
2020-06-25,4.33,4.54,4.295,4.46,2450936,-1.7825891248321368,-0.5175860816990254,Buy
2020-06-26,4.48,4.5,4.27,4.35,3801155,0.8143849593722976,-0.3010748391880971,Buy
2020-06-29,4.35,4.52,4.3,4.38,2131330,0.4582317549264372,4.655165762457337,Sell
2020-06-30,4.33,4.51,4.2,4.34,3889029,1.4112405153306218,-2.846045986234558,Buy
2020-07-01,4.31,4.5,4.31,4.44,2304101,-2.696207299716077,3.398259673569588,Sell
2020-07-02,4.49,4.51,4.29,4.29,1887751,4.0207691655247,0.8030511239057736,Sell
2020-07-06,4.31,4.34,4.19,4.24,2140879,2.3983852286395817,0.9877120187143817,Sell
2020-07-07,4.2,4.2475,4.06,4.09,2456970,1.9520525078186157,-5.115839960274936,Buy
2020-07-08,4.1,4.29,4.03,4.26,2052829,-3.3674049147764458,1.7787037110380126,Sell
2020-07-09,4.27,4.32,4.13,4.21,1992621,0.6457470292586218,-2.2344988359611424,Buy
2020-07-10,4.2,4.38,4.1843,4.34,1410828,-2.3001752065311623,2.9474361364268957,Sell
2020-07-13,4.35,4.5479,4.26,4.26,4216265,0.5133101201842005,0.34324027482938724,Sell
2020-07-14,4.22,4.31,4.0725,4.08,2261589,5.113397517383774,-5.097792853280374,Buy
2020-07-15,4.13,4.29,4.13,4.19,1474126,-1.4348054709039364,-0.6434837212492031,Buy
2020-07-16,4.19,4.2,4.09,4.17,1330461,0.7020523738535107,-2.7546181584414793,Buy
2020-07-17,4.16,4.23,3.9381,3.96,3066549,4.823820289430474,-3.57180671843834,Buy
2020-07-20,3.95,4.06,3.77,3.85,3401088,3.3860972473539634,-6.1706534908235735,Buy
2020-07-21,3.9,4.09,3.88,4.01,3341012,-3.163787452456321,-3.595867484728863,Buy
2020-07-22,4.02,4.12,3.92,4.11,2523547,-1.5887012037384332,-0.9866863271469719,Buy
2020-07-23,4.09,4.305,4.06,4.11,3237550,-1.5887518067025206,6.066488556487389,Sell
2020-07-24,4.06,4.23,4.01,4.03,2216295,0.6472609298957336,4.928141536185217,Sell
2020-07-27,4.02,4.12,3.95,4.01,2472696,0.8565503950135878,-3.819787679772668,Buy
2020-07-28,3.96,4.049,3.92,3.94,4555392,0.015604664103400723,0.7028370291749326,Sell
2020-07-29,3.94,4.18,3.92,4.06,2879626,-2.0782891921531395,0.09279255519293184,Sell
2020-07-30,4.0,4.23,3.97,4.1,2398485,-2.0525657845879683,-0.588070605893463,Buy
2020-07-31,4.06,4.16,3.99,4.01,1879553,1.2520135709921338,-4.388501334543587,Buy
2020-08-03,4.03,4.25,3.995,4.15,2518010,-2.7845562434696105,5.95605500574883,Sell
2020-08-04,4.13,4.7375,4.13,4.43,10361363,-6.759654937185184,2.502156737335203,Sell
