datetime,open,high,low,close/last,volume,market_adjustment%,daily_difference%,label
2020-08-25,4.88,5.25,4.88,4.98,2998678,-1.8259523996394051,-0.15731857144518213,Buy
2020-08-26,4.97,5.22,4.9199,5.11,2779664,-1.9832709710845873,-0.7733840749460554,Buy
2020-08-27,5.11,5.3799,5.02,5.25,3384658,-2.7566550460306427,1.4396915255801894,Sell
2020-08-28,5.3,5.565,5.215,5.39,4236926,-1.3169635204504533,-14.722663696426373,Buy
2020-08-31,5.77,7.15,5.69,6.68,37975999,-16.039627216876827,11.79279957315806,Sell
2020-09-01,7.3,7.82,6.77,7.65,23211046,-4.246827643718768,6.447020051261556,Sell
2020-09-02,7.8,8.05,7.11,7.71,13011113,2.2001924075427883,-4.515573322971966,Buy
2020-09-03,7.88,8.45,7.24,7.82,14344502,-2.315380915429178,3.214963065987176,Sell
2020-09-04,7.78,7.92,7.17,7.65,7661994,0.8995821505579982,-4.0738052361210535,Buy
2020-09-08,7.55,8.28,7.48,7.7,9816620,-3.1742230855630558,11.702274283382877,Sell
2020-09-09,7.96,7.99,7.31,7.35,9068082,8.52805119781982,-4.362260551995044,Buy
2020-09-10,6.65,6.95,6.19,6.23,15558278,4.165790645824776,-1.8000029649026925,Buy
2020-09-11,6.26,6.33,5.87,6.09,6061190,2.3657876809220837,-3.38942125403405,Buy
2020-09-14,6.8,7.0,6.43,6.91,10118972,-1.0236335731119661,-2.5207592688215144,Buy
2020-09-15,6.86,7.26,6.685,7.09,5743489,-3.5443928419334805,-20.681012953031185,Buy
2020-09-16,7.03,9.04,7.03,8.68,19346508,-24.225405794964665,17.177449923810478,Sell
2020-09-17,8.57,9.77,8.41,9.2,17026720,-7.047955871154189,2.9840189814417677,Sell
2020-09-18,9.2,9.77,8.91,9.47,17407513,-4.063936889712421,10.343782291805201,Sell
2020-09-21,9.35,9.6,8.38,8.75,7639806,6.27984540209278,-6.731096415159855,Buy
2020-09-22,10.45,11.1699,9.9,10.56,34752484,-0.4512510130670748,3.2286300076139174,Sell
2020-09-23,10.6,10.86,9.92,10.04,10651152,2.777378994546843,3.726742331007385,Sell
2020-09-24,9.71,9.81,9.01,9.14,7938838,6.504121325554228,-13.626301650256146,Buy
2020-09-25,9.19,10.1826,9.1,10.02,7515157,-7.122180324701919,8.342066447997963,Sell
2020-09-28,10.16,10.26,9.55,10.09,6764323,1.2198861232960447,-5.180953531649576,Buy
2020-09-29,10.0,10.65,9.93,10.35,5244339,-3.961067408353531,5.101031234807237,Sell
2020-09-30,10.25,10.7597,10.06,10.2,6079033,1.1399638264537055,1.881753112885207,Sell
2020-10-01,10.09,10.25,9.69,9.77,4554055,3.0217169393389125,-2.8438053124948355,Buy
2020-10-02,9.38,9.78,9.3,9.39,4340484,0.177911626844077,0.8385186977164765,Sell
2020-10-05,9.44,9.59,9.2502,9.46,2804969,1.0164303245605535,2.0794933143118355,Sell
2020-10-06,9.56,9.835,9.1,9.13,4535421,3.0959236388723888,-3.473516565425008,Buy
2020-10-07,9.23,9.56,9.1678,9.36,3308644,-0.3775929265526192,-40.66158601242177,Buy
2020-10-08,9.54,13.64,9.19,13.49,76453557,-41.03917893897439,47.85717948710537,Sell
2020-10-09,12.83,14.8,11.9,12.02,77152780,6.818000548130983,-7.041549380976182,Buy
2020-10-12,11.66,12.7662,11.4,11.8,23655701,-0.22354883284519933,-1.6800095536340645,Buy
2020-10-13,11.73,12.42,11.65,11.88,10179708,-1.9035583864792638,4.4561307915082375,Sell
2020-10-14,12.67,12.68,12.05,12.25,10776762,2.5525724050289735,-17.041068193066465,Buy
2020-10-15,11.99,15.1,11.99,13.83,39894822,-14.48849578803749,17.551719022722,Sell
2020-10-16,13.77,13.9,13.08,13.31,11651578,3.0632232346845116,-8.47056459084995,Buy
2020-10-19,13.44,14.5,13.38,13.91,13169073,-5.407341356165439,6.7277711223302115,Sell
