datetime,open,close/last,volume,market_adjustment%,biweekly_difference%,volatility_metric,label
2020-06-18,4.67,4.95,3423827,-5.554015535388376,9.574784700913076,89.03835964169767,Sell
2020-06-19,4.95,4.88,7365867,0.059171013318559895,2.3392142153210216,,Sell
2020-06-22,4.79,4.87,3178966,-0.9126536189951663,2.864706126813782,,Sell
2020-06-23,4.95,4.83,3205372,2.188157420897097,-5.555562335673542,,Buy
2020-06-24,4.83,4.41,2976209,6.638434090172989,-5.992687060914367,,Buy
2020-06-25,4.33,4.46,2450936,-1.7825891248321368,-0.5175860816990254,,Buy
2020-06-26,4.48,4.35,3801155,0.8143849593722976,-0.3010748391880971,,Buy
2020-06-29,4.35,4.38,2131330,0.4582317549264372,4.655165762457337,,Sell
2020-06-30,4.33,4.34,3889029,1.4112405153306218,-2.846045986234558,,Buy
2020-07-01,4.31,4.44,2304101,-2.696207299716077,3.398259673569588,,Sell
2020-07-02,4.49,4.29,1887751,4.0207691655247,0.8030511239057736,,Sell
2020-07-06,4.31,4.24,2140879,2.3983852286395817,0.9877120187143817,,Sell
2020-07-07,4.2,4.09,2456970,1.9520525078186157,-5.115839960274936,,Buy
2020-07-08,4.1,4.26,2052829,-3.3674049147764458,1.7787037110380126,,Sell
2020-07-09,4.27,4.21,1992621,0.6457470292586218,-2.2344988359611424,,Buy
2020-07-10,4.2,4.34,1410828,-2.3001752065311623,2.9474361364268957,,Sell
2020-07-13,4.35,4.26,4216265,0.5133101201842005,0.34324027482938724,,Sell
2020-07-14,4.22,4.08,2261589,5.113397517383774,-5.097792853280374,,Buy
2020-07-15,4.13,4.19,1474126,-1.4348054709039364,-0.6434837212492031,,Buy
2020-07-16,4.19,4.17,1330461,0.7020523738535107,-2.7546181584414793,,Buy
2020-07-17,4.16,3.96,3066549,4.823820289430474,-3.57180671843834,,Buy
2020-07-20,3.95,3.85,3401088,3.3860972473539634,-6.1706534908235735,,Buy
2020-07-21,3.9,4.01,3341012,-3.163787452456321,-3.595867484728863,,Buy
2020-07-22,4.02,4.11,2523547,-1.5887012037384332,-0.9866863271469719,,Buy
2020-07-23,4.09,4.11,3237550,-1.5887518067025206,6.066488556487389,,Sell
2020-07-24,4.06,4.03,2216295,0.6472609298957336,4.928141536185217,,Sell
2020-07-27,4.02,4.01,2472696,0.8565503950135878,-3.819787679772668,,Buy
2020-07-28,3.96,3.94,4555392,0.015604664103400723,0.7028370291749326,,Sell
2020-07-29,3.94,4.06,2879626,-2.0782891921531395,0.09279255519293184,,Sell
2020-07-30,4.0,4.1,2398485,-2.0525657845879683,-0.588070605893463,,Buy
2020-07-31,4.06,4.01,1879553,1.2520135709921338,-4.388501334543587,,Buy
2020-08-03,4.03,4.15,2518010,-2.7845562434696105,5.95605500574883,,Sell
2020-08-04,4.13,4.43,10361363,-6.759654937185184,2.502156737335203,,Sell
2020-08-05,4.5,4.63,4925697,-2.575387530885405,3.721495673037767,,Sell
2020-08-06,4.6,4.43,1901224,4.477736749784869,-3.516452462011507,,Buy
2020-08-07,4.39,4.16,3341099,5.575402466080951,-14.593932419830566,,Buy
2020-08-10,4.2,4.33,4561772,-2.9632372847590807,7.858929231511356,,Sell
2020-08-11,4.43,4.35,3139105,0.7184416932783333,-2.5443940929177384,,Buy
2020-08-12,4.4,4.52,3057594,-1.9854966369602076,0.002225665875620342,,Sell
2020-08-13,4.52,4.64,2128313,-2.6406363904814314,-0.11601865554921131,,Buy
2020-08-14,4.6,4.75,3474692,-3.1364877635514534,1.8195242431010001,,Sell
2020-08-17,4.78,4.63,2370970,3.171498762279219,-19.211125979156044,,Buy
2020-08-18,4.61,4.81,3834840,-4.257498199849981,0.01067055613121326,,Sell
2020-08-19,4.8,4.72,2612583,1.1461081421523616,1.0540842653904268,,Sell
2020-08-20,4.62,4.61,2441184,0.9612842877733621,-3.27666520320254,,Buy
2020-08-21,4.6,5.03,10642591,-9.018529953749615,9.918112104307614,,Sell
2020-08-24,5.1,4.87,4585366,4.895691946752275,-8.06991503231533,,Buy
2020-08-25,4.88,4.98,2998678,-1.8259523996394051,10.354003597459226,,Sell
2020-08-26,4.97,5.11,2779664,-1.9832709710845873,6.149061616909363,,Sell
2020-08-27,5.11,5.25,3384658,-2.7566550460306427,5.122442726952727,,Sell
2020-08-28,5.3,5.39,4236926,-1.3169635204504533,0.29332994733848716,,Sell
2020-08-31,5.77,6.68,37975999,-16.039627216876827,12.495234374943347,,Sell
2020-09-01,7.3,7.65,23211046,-4.246827643718768,-19.978578151245898,,Buy
2020-09-02,7.8,7.71,13011113,2.2001924075427883,-9.248148278696977,,Buy
2020-09-03,7.88,7.82,14344502,-2.315380915429178,-1.748555974283243,,Buy
2020-09-04,7.78,7.65,7661994,0.8995821505579982,5.380263251534782,,Sell
2020-09-08,7.55,7.7,9816620,-3.1742230855630558,2.722972072495981,,Sell
2020-09-09,7.96,7.35,9068082,8.52805119781982,-5.750672203272978,,Buy
2020-09-10,6.65,6.23,15558278,4.165790645824776,2.3383306797294514,,Sell
2020-09-11,6.26,6.09,6061190,2.3657876809220837,-9.487968005624003,,Buy
2020-09-14,6.8,6.91,10118972,-1.0236335731119661,2.243519696408011,,Sell
2020-09-15,6.86,7.09,5743489,-3.5443928419334805,-0.4166745664200504,,Buy
2020-09-16,7.03,8.68,19346508,-24.225405794964665,25.36536962141837,,Sell
2020-09-17,8.57,9.2,17026720,-7.047955871154189,10.0696728104931,,Sell
2020-09-18,9.2,9.47,17407513,-4.063936889712421,4.241848516556498,,Sell
2020-09-21,9.35,8.75,7639806,6.27984540209278,-5.263415077532227,,Buy
2020-09-22,10.45,10.56,34752484,-0.4512510130670748,3.5471746519394634,,Sell
